event_id,start_time,end_time,duration_seconds,max_concentration,mean_concentration,num_measurements,date
1,2014-03-05 09:23:14,2014-03-05 09:24:47,93.0,30.0,12.015789473684212,76,2014-03-05
2,2014-03-12 09:06:18,2014-03-12 09:08:23,125.0,2.2,1.5619047619047621,84,2014-03-12
3,2014-03-19 07:59:36,2014-03-19 08:00:15,39.0,2.2,1.9949999999999999,40,2014-03-19
4,2014-03-26 22:47:15,2014-03-26 22:47:44,29.0,2.2,1.9333333333333333,30,2014-03-26
5,2014-03-27 10:09:24,2014-03-27 10:11:15,111.0,2.2,1.5333333333333334,84,2014-03-27
6,2014-04-02 10:03:31,2014-04-02 10:05:20,109.0,30.0,7.5549019607843135,102,2014-04-02
7,2014-04-07 20:18:33,2014-04-07 20:19:08,35.0,2.3,1.9777777777777779,36,2014-04-07
8,2014-04-11 07:37:55,2014-04-11 07:38:08,13.0,0.7,0.6999999999999998,12,2014-04-11
9,2014-04-11 19:19:07,2014-04-11 19:19:18,11.0,0.8,0.7333333333333334,12,2014-04-11
10,2014-04-12 08:19:51,2014-04-12 08:19:54,3.0,0.7,0.7,4,2014-04-12
11,2014-04-12 08:30:51,2014-04-12 08:31:02,11.0,0.9,0.7999999999999999,12,2014-04-12
12,2014-04-16 10:31:07,2014-04-16 10:32:40,93.0,2.2,1.4566666666666668,60,2014-04-16
13,2014-04-18 10:24:52,2014-04-18 10:32:53,481.0,0.7,0.7,82,2014-04-18
14,2014-04-18 10:37:20,2014-04-18 10:41:59,279.0,0.7,0.7,46,2014-04-18
15,2014-04-18 10:49:10,2014-04-18 11:24:31,2121.0,1.4,0.7946428571428571,896,2014-04-18
16,2014-04-24 08:14:38,2014-04-24 08:17:01,143.0,2.2,1.5148148148148148,108,2014-04-24
17,2014-04-26 13:06:39,2014-04-26 13:09:04,145.0,1.0,0.7890410958904109,146,2014-04-26
18,2014-04-26 13:11:33,2014-04-26 13:17:18,345.0,3.3,1.299421965317919,346,2014-04-26
19,2014-04-28 08:39:16,2014-04-28 08:41:02,106.0,30.0,11.246666666666666,75,2014-04-28
20,2014-05-07 08:56:38,2014-05-07 08:59:47,189.0,2.2,1.531818181818182,88,2014-05-07
21,2014-05-14 10:30:16,2014-05-14 10:30:49,33.0,2.2,2.0411764705882356,34,2014-05-14
22,2014-05-21 09:19:45,2014-05-21 09:21:53,128.0,2.2,1.4865979381443302,97,2014-05-21
23,2014-05-27 08:43:27,2014-05-27 08:45:26,119.0,30.0,10.412765957446808,94,2014-05-27
24,2014-06-06 09:08:09,2014-06-06 09:09:58,109.0,2.2,1.5609756097560976,82,2014-06-06
25,2014-06-10 09:09:48,2014-06-10 09:10:25,37.0,2.3,2.1052631578947367,38,2014-06-10
