day_nb_ind,event_id,date
3,1,2014-03-04
5,2,2014-03-06
5,3,2014-03-06
5,4,2014-03-06
5,5,2014-03-06
9,6,2014-03-10
9,7,2014-03-10
9,8,2014-03-10
9,9,2014-03-10
9,10,2014-03-10
9,11,2014-03-10
9,12,2014-03-10
10,13,2014-03-11
10,14,2014-03-11
10,15,2014-03-11
10,16,2014-03-11
10,17,2014-03-11
10,18,2014-03-11
10,19,2014-03-11
10,20,2014-03-11
10,21,2014-03-11
10,22,2014-03-11
10,23,2014-03-11
10,24,2014-03-11
10,25,2014-03-11
10,26,2014-03-11
10,27,2014-03-11
10,28,2014-03-11
10,29,2014-03-11
10,30,2014-03-11
10,31,2014-03-11
10,32,2014-03-11
10,33,2014-03-11
11,34,2014-03-12
11,35,2014-03-12
11,36,2014-03-12
11,37,2014-03-12
11,38,2014-03-12
11,39,2014-03-12
11,40,2014-03-12
11,41,2014-03-12
11,42,2014-03-12
11,43,2014-03-12
11,44,2014-03-12
11,45,2014-03-12
11,46,2014-03-12
13,47,2014-03-14
13,48,2014-03-14
13,49,2014-03-14
13,50,2014-03-14
13,51,2014-03-14
14,52,2014-03-15
14,53,2014-03-15
14,54,2014-03-15
14,55,2014-03-15
14,56,2014-03-15
14,57,2014-03-15
14,58,2014-03-15
14,59,2014-03-15
14,60,2014-03-15
14,61,2014-03-15
14,62,2014-03-15
15,63,2014-03-16
15,64,2014-03-16
15,65,2014-03-16
15,66,2014-03-16
15,67,2014-03-16
15,68,2014-03-16
15,69,2014-03-16
15,70,2014-03-16
15,71,2014-03-16
16,72,2014-03-17
16,73,2014-03-17
17,74,2014-03-18
17,75,2014-03-18
17,76,2014-03-18
17,77,2014-03-18
17,78,2014-03-18
17,79,2014-03-18
17,80,2014-03-18
17,81,2014-03-18
17,82,2014-03-18
17,83,2014-03-18
17,84,2014-03-18
18,85,2014-03-19
18,86,2014-03-19
18,87,2014-03-19
18,88,2014-03-19
18,89,2014-03-19
18,90,2014-03-19
18,91,2014-03-19
18,92,2014-03-19
18,93,2014-03-19
18,94,2014-03-19
19,95,2014-03-20
19,96,2014-03-20
19,97,2014-03-20
19,98,2014-03-20
19,99,2014-03-20
19,100,2014-03-20
20,101,2014-03-21
20,102,2014-03-21
24,103,2014-03-25
24,104,2014-03-25
25,105,2014-03-26
25,106,2014-03-26
25,107,2014-03-26
25,108,2014-03-26
25,109,2014-03-26
25,110,2014-03-26
26,111,2014-03-27
26,112,2014-03-27
26,113,2014-03-27
26,114,2014-03-27
26,115,2014-03-27
26,116,2014-03-27
26,117,2014-03-27
27,118,2014-03-28
27,119,2014-03-28
27,120,2014-03-28
27,121,2014-03-28
27,122,2014-03-28
27,123,2014-03-28
27,124,2014-03-28
28,125,2014-03-29
28,126,2014-03-29
28,127,2014-03-29
28,128,2014-03-29
28,129,2014-03-29
28,130,2014-03-29
28,131,2014-03-29
28,132,2014-03-29
28,133,2014-03-29
28,134,2014-03-29
28,135,2014-03-29
28,136,2014-03-29
28,137,2014-03-29
28,138,2014-03-29
28,139,2014-03-29
