event_id,start_time,end_time,duration_seconds,max_concentration,mean_concentration,num_measurements,date
1,2014-03-05 09:29:18,2014-03-05 09:30:31,73.0,30.0,10.743333333333334,60,2014-03-05
2,2014-03-12 09:09:46,2014-03-12 09:11:49,123.0,2.2,1.7522727272727272,88,2014-03-12
3,2014-03-19 07:56:16,2014-03-19 07:56:57,41.0,2.3,1.9952380952380953,42,2014-03-19
4,2014-03-27 10:12:32,2014-03-27 10:14:39,127.0,2.2,1.721276595744681,94,2014-03-27
5,2014-04-02 10:01:01,2014-04-02 10:02:26,85.0,30.0,14.637142857142855,70,2014-04-02
6,2014-04-07 20:23:03,2014-04-07 20:23:28,25.0,2.2,1.9076923076923078,26,2014-04-07
7,2014-04-16 10:28:31,2014-04-16 10:29:00,29.0,2.3,2.0733333333333333,30,2014-04-16
8,2014-04-24 08:10:44,2014-04-24 08:12:57,133.0,2.2,1.7170212765957447,94,2014-04-24
9,2014-04-26 13:05:05,2014-04-26 13:16:48,703.0,8.0,5.678994082840236,676,2014-04-26
10,2014-04-28 08:45:01,2014-04-28 08:46:52,111.0,30.0,13.756410256410257,78,2014-04-28
11,2014-05-07 09:00:52,2014-05-07 09:02:45,113.0,2.2,1.7825,80,2014-05-07
12,2014-05-14 10:26:20,2014-05-14 10:27:35,75.0,2.3,2.0076923076923077,52,2014-05-14
13,2014-05-21 09:23:10,2014-05-21 09:25:09,119.0,2.2,1.6377777777777778,90,2014-05-21
14,2014-05-27 08:47:49,2014-05-27 08:48:50,61.0,30.0,11.984000000000002,50,2014-05-27
15,2014-06-06 09:11:35,2014-06-06 09:13:28,113.0,2.2,1.4704545454545455,88,2014-06-06
16,2014-06-10 09:07:06,2014-06-10 09:07:31,25.0,2.2,2.1,26,2014-06-10
