day_nb_ind,event_id,date
2,1,2014-03-03
11,2,2014-03-12
12,3,2014-03-13
12,4,2014-03-13
13,5,2014-03-14
13,6,2014-03-14
13,7,2014-03-14
14,8,2014-03-15
14,9,2014-03-15
14,10,2014-03-15
14,11,2014-03-15
14,12,2014-03-15
14,13,2014-03-15
14,14,2014-03-15
14,15,2014-03-15
14,16,2014-03-15
14,17,2014-03-15
14,18,2014-03-15
14,19,2014-03-15
14,20,2014-03-15
14,21,2014-03-15
14,22,2014-03-15
14,23,2014-03-15
14,24,2014-03-15
14,25,2014-03-15
14,26,2014-03-15
14,27,2014-03-15
14,28,2014-03-15
14,29,2014-03-15
14,30,2014-03-15
14,31,2014-03-15
14,32,2014-03-15
14,33,2014-03-15
14,34,2014-03-15
14,35,2014-03-15
14,36,2014-03-15
14,37,2014-03-15
14,38,2014-03-15
15,39,2014-03-16
15,40,2014-03-16
15,41,2014-03-16
15,42,2014-03-16
15,43,2014-03-16
15,44,2014-03-16
15,45,2014-03-16
15,46,2014-03-16
15,47,2014-03-16
15,48,2014-03-16
15,49,2014-03-16
15,50,2014-03-16
15,51,2014-03-16
15,52,2014-03-16
18,53,2014-03-19
20,54,2014-03-21
20,55,2014-03-21
21,56,2014-03-22
21,57,2014-03-22
21,58,2014-03-22
21,59,2014-03-22
21,60,2014-03-22
26,61,2014-03-27
29,62,2014-03-30
29,63,2014-03-30
29,64,2014-03-30
29,65,2014-03-30
29,66,2014-03-30
29,67,2014-03-30
30,68,2014-03-31
30,69,2014-03-31
32,70,2014-04-02
33,71,2014-04-03
33,72,2014-04-03
37,73,2014-04-07
37,74,2014-04-07
37,75,2014-04-07
38,76,2014-04-08
38,77,2014-04-08
38,78,2014-04-08
38,79,2014-04-08
38,80,2014-04-08
38,81,2014-04-08
38,82,2014-04-08
38,83,2014-04-08
38,84,2014-04-08
38,85,2014-04-08
38,86,2014-04-08
38,87,2014-04-08
38,88,2014-04-08
38,89,2014-04-08
38,90,2014-04-08
40,91,2014-04-10
40,92,2014-04-10
40,93,2014-04-10
40,94,2014-04-10
40,95,2014-04-10
40,96,2014-04-10
42,97,2014-04-12
42,98,2014-04-12
42,99,2014-04-12
42,100,2014-04-12
44,101,2014-04-14
44,102,2014-04-14
44,103,2014-04-14
44,104,2014-04-14
44,105,2014-04-14
44,106,2014-04-14
44,107,2014-04-14
44,108,2014-04-14
44,109,2014-04-14
44,110,2014-04-14
44,111,2014-04-14
44,112,2014-04-14
44,113,2014-04-14
44,114,2014-04-14
44,115,2014-04-14
44,116,2014-04-14
44,117,2014-04-14
44,118,2014-04-14
44,119,2014-04-14
44,120,2014-04-14
44,121,2014-04-14
46,122,2014-04-16
47,123,2014-04-17
47,124,2014-04-17
47,125,2014-04-17
47,126,2014-04-17
47,127,2014-04-17
47,128,2014-04-17
47,129,2014-04-17
47,130,2014-04-17
47,131,2014-04-17
47,132,2014-04-17
47,133,2014-04-17
47,134,2014-04-17
47,135,2014-04-17
47,136,2014-04-17
48,137,2014-04-18
48,138,2014-04-18
48,139,2014-04-18
48,140,2014-04-18
48,141,2014-04-18
48,142,2014-04-18
48,143,2014-04-18
48,144,2014-04-18
48,145,2014-04-18
48,146,2014-04-18
48,147,2014-04-18
48,148,2014-04-18
48,149,2014-04-18
48,150,2014-04-18
48,151,2014-04-18
48,152,2014-04-18
48,153,2014-04-18
49,154,2014-04-19
49,155,2014-04-19
49,156,2014-04-19
54,157,2014-04-24
54,158,2014-04-24
54,159,2014-04-24
54,160,2014-04-24
56,161,2014-04-26
58,162,2014-04-28
58,163,2014-04-28
58,164,2014-04-28
58,165,2014-04-28
59,166,2014-04-29
59,167,2014-04-29
59,168,2014-04-29
59,169,2014-04-29
59,170,2014-04-29
60,171,2014-04-30
61,172,2014-05-01
61,173,2014-05-01
61,174,2014-05-01
61,175,2014-05-01
61,176,2014-05-01
61,177,2014-05-01
64,178,2014-05-04
64,179,2014-05-04
64,180,2014-05-04
64,181,2014-05-04
64,182,2014-05-04
64,183,2014-05-04
66,184,2014-05-06
66,185,2014-05-06
66,186,2014-05-06
66,187,2014-05-06
66,188,2014-05-06
66,189,2014-05-06
66,190,2014-05-06
66,191,2014-05-06
67,192,2014-05-07
67,193,2014-05-07
70,194,2014-05-10
70,195,2014-05-10
70,196,2014-05-10
70,197,2014-05-10
70,198,2014-05-10
70,199,2014-05-10
70,200,2014-05-10
70,201,2014-05-10
70,202,2014-05-10
70,203,2014-05-10
70,204,2014-05-10
71,205,2014-05-11
71,206,2014-05-11
71,207,2014-05-11
71,208,2014-05-11
72,209,2014-05-12
72,210,2014-05-12
72,211,2014-05-12
75,212,2014-05-15
75,213,2014-05-15
75,214,2014-05-15
75,215,2014-05-15
75,216,2014-05-15
75,217,2014-05-15
75,218,2014-05-15
75,219,2014-05-15
76,220,2014-05-16
76,221,2014-05-16
77,222,2014-05-17
77,223,2014-05-17
81,224,2014-05-21
82,225,2014-05-22
83,226,2014-05-23
86,227,2014-05-26
86,228,2014-05-26
86,229,2014-05-26
87,230,2014-05-27
87,231,2014-05-27
87,232,2014-05-27
