year,month,day,hour,minute,second,AN311,AN422,AN423,TP1721,RH1722,BA1723,TP1711,RH1712,BA1713,MM252,MM261,MM262,MM263,MM264,MM256,MM211,CM861,CR863,P_864,TC862,WM868,AMP1_IR,AMP2_IR,DMP3_IR,DMP4_IR,AMP5_IR,F_SIDE,V,datetime,day_nb,day_nb_ind,hour_ind,minute_ind,second_ind,time_gap,event,period_id
2014,3,5,9,29,18,3.4,1.8,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,0.8,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:18,64,4,81,4889,293358,0 days 00:00:01,1,1
2014,3,5,9,29,19,3.4,1.8,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,0.8,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:19,64,4,81,4889,293359,0 days 00:00:01,1,1
2014,3,5,9,29,20,3.4,1.8,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,1.5,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:20,64,4,81,4889,293360,0 days 00:00:01,1,1
2014,3,5,9,29,21,3.4,1.8,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,1.5,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:21,64,4,81,4889,293361,0 days 00:00:01,1,1
2014,3,5,9,29,22,3.4,1.8,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,1.8,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:22,64,4,81,4889,293362,0 days 00:00:01,1,1
2014,3,5,9,29,23,3.3,1.7,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,1.8,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:23,64,4,81,4889,293363,0 days 00:00:01,1,1
2014,3,5,9,29,24,3.3,1.7,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,2.0,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:24,64,4,81,4889,293364,0 days 00:00:01,1,1
2014,3,5,9,29,25,3.3,1.7,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,2.0,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:25,64,4,81,4889,293365,0 days 00:00:01,1,1
2014,3,5,9,29,26,3.3,1.7,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,2.1,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:26,64,4,81,4889,293366,0 days 00:00:01,1,1
2014,3,5,9,29,27,3.3,1.7,1.4,24.5,43,1106.9,28.0,66,1106.2,0.0,2.1,0.0,0.4,0.2,0.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05 09:29:27,64,4,81,4889,293367,0 days 00:00:01,1,1
