day_nb_ind,event_id,date
3,1,2014-03-04
6,2,2014-03-07
6,3,2014-03-07
7,4,2014-03-08
7,5,2014-03-08
7,6,2014-03-08
7,7,2014-03-08
7,8,2014-03-08
7,9,2014-03-08
7,10,2014-03-08
7,11,2014-03-08
7,12,2014-03-08
7,13,2014-03-08
7,14,2014-03-08
7,15,2014-03-08
7,16,2014-03-08
7,17,2014-03-08
7,18,2014-03-08
7,19,2014-03-08
7,20,2014-03-08
10,21,2014-03-11
10,22,2014-03-11
10,23,2014-03-11
10,24,2014-03-11
10,25,2014-03-11
10,26,2014-03-11
10,27,2014-03-11
10,28,2014-03-11
10,29,2014-03-11
10,30,2014-03-11
10,31,2014-03-11
10,32,2014-03-11
10,33,2014-03-11
10,34,2014-03-11
10,35,2014-03-11
10,36,2014-03-11
10,37,2014-03-11
11,38,2014-03-12
11,39,2014-03-12
11,40,2014-03-12
11,41,2014-03-12
11,42,2014-03-12
13,43,2014-03-14
13,44,2014-03-14
14,45,2014-03-15
14,46,2014-03-15
14,47,2014-03-15
14,48,2014-03-15
14,49,2014-03-15
14,50,2014-03-15
14,51,2014-03-15
14,52,2014-03-15
14,53,2014-03-15
14,54,2014-03-15
14,55,2014-03-15
14,56,2014-03-15
14,57,2014-03-15
14,58,2014-03-15
14,59,2014-03-15
14,60,2014-03-15
14,61,2014-03-15
14,62,2014-03-15
14,63,2014-03-15
14,64,2014-03-15
14,65,2014-03-15
14,66,2014-03-15
14,67,2014-03-15
14,68,2014-03-15
14,69,2014-03-15
14,70,2014-03-15
14,71,2014-03-15
14,72,2014-03-15
14,73,2014-03-15
14,74,2014-03-15
14,75,2014-03-15
14,76,2014-03-15
14,77,2014-03-15
14,78,2014-03-15
14,79,2014-03-15
14,80,2014-03-15
15,81,2014-03-16
15,82,2014-03-16
15,83,2014-03-16
15,84,2014-03-16
15,85,2014-03-16
15,86,2014-03-16
15,87,2014-03-16
15,88,2014-03-16
15,89,2014-03-16
15,90,2014-03-16
15,91,2014-03-16
15,92,2014-03-16
15,93,2014-03-16
15,94,2014-03-16
16,95,2014-03-17
16,96,2014-03-17
16,97,2014-03-17
16,98,2014-03-17
16,99,2014-03-17
16,100,2014-03-17
16,101,2014-03-17
16,102,2014-03-17
16,103,2014-03-17
16,104,2014-03-17
16,105,2014-03-17
16,106,2014-03-17
16,107,2014-03-17
16,108,2014-03-17
16,109,2014-03-17
16,110,2014-03-17
17,111,2014-03-18
17,112,2014-03-18
17,113,2014-03-18
17,114,2014-03-18
17,115,2014-03-18
17,116,2014-03-18
17,117,2014-03-18
17,118,2014-03-18
17,119,2014-03-18
17,120,2014-03-18
17,121,2014-03-18
17,122,2014-03-18
17,123,2014-03-18
17,124,2014-03-18
17,125,2014-03-18
17,126,2014-03-18
17,127,2014-03-18
17,128,2014-03-18
17,129,2014-03-18
17,130,2014-03-18
17,131,2014-03-18
18,132,2014-03-19
18,133,2014-03-19
18,134,2014-03-19
18,135,2014-03-19
18,136,2014-03-19
18,137,2014-03-19
18,138,2014-03-19
18,139,2014-03-19
18,140,2014-03-19
18,141,2014-03-19
18,142,2014-03-19
18,143,2014-03-19
18,144,2014-03-19
18,145,2014-03-19
18,146,2014-03-19
18,147,2014-03-19
18,148,2014-03-19
18,149,2014-03-19
18,150,2014-03-19
18,151,2014-03-19
18,152,2014-03-19
18,153,2014-03-19
18,154,2014-03-19
18,155,2014-03-19
19,155,2014-03-20
19,156,2014-03-20
19,157,2014-03-20
19,158,2014-03-20
19,159,2014-03-20
19,160,2014-03-20
19,161,2014-03-20
19,162,2014-03-20
19,163,2014-03-20
19,164,2014-03-20
19,165,2014-03-20
19,166,2014-03-20
19,167,2014-03-20
19,168,2014-03-20
19,169,2014-03-20
19,170,2014-03-20
